"IdUbigeo","Departamento","Provincia","Distrito","Genero","TotalPoblacion","CantidadAfiliados","PorcentajeAP"
130102,LA LIBERTAD,TRUJILLO,EL PORVENIR,MASCULINO,101232,69178,0.68
101002,HUANUCO,LAURICOCHA,BANOS,FEMENINO,3518,1406,0.4
120114,JUNIN,HUANCAYO,EL TAMBO,FEMENINO,78362,54500,0.7
100601,HUANUCO,LEONCIO PRADO,RUPA-RUPA,MASCULINO,20999,22493,1.07
80103,CUSCO,CUSCO,POROY,FEMENINO,4003,3369,0.84
90409,HUANCAVELICA,CASTROVIRREYNA,MOLLEPAMPA,FEMENINO,846,472,0.56
70101,CALLAO,CALLAO,CALLAO,FEMENINO,210889,0,0
30102,APURIMAC,ABANCAY,CHACOCHE,MASCULINO,619,757,1.22
81303,CUSCO,URUBAMBA,HUAYLLABAMBA,MASCULINO,2647,2243,0.85
150508,LIMA,CANETE,LUNAHUANA,FEMENINO,2543,1689,0.66
90204,HUANCAVELICA,ACOBAMBA,CAJA,MASCULINO,1430,1047,0.73
150801,LIMA,HUAURA,HUACHO,FEMENINO,30068,18908,0.63
50302,AYACUCHO,HUANCA SANCOS,CARAPO,MASCULINO,1359,977,0.72
110211,ICA,CHINCHA,TAMBO DE MORA,MASCULINO,2619,1451,0.55
10304,AMAZONAS,BONGARA,COROSHA,MASCULINO,513,429,0.84
151010,LIMA,YAUYOS,COCHAS,MASCULINO,235,52,0.22
160511,LORETO,REQUENA,YAQUERANA,FEMENINO,1559,1700,1.09
50906,AYACUCHO,SUCRE,MORCOLLA,MASCULINO,570,592,1.04
20305,ANCASH,ANTONIO RAIMONDI,MIRGAS,FEMENINO,2650,2432,0.92
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,MASCULINO,10760,10976,1.02
150602,LIMA,HUARAL,ATAVILLOS ALTO,FEMENINO,410,296,0.72
211203,PUNO,SANDIA,LIMBANI,MASCULINO,2060,1266,0.61
150607,LIMA,HUARAL,LAMPIAN,MASCULINO,205,148,0.72
30205,APURIMAC,ANDAHUAYLAS,HUANCARAY,FEMENINO,2312,2058,0.89
220511,SAN MARTIN,LAMAS,ZAPATERO,FEMENINO,2632,3168,1.2
140308,LAMBAYEQUE,LAMBAYEQUE,OLMOS,FEMENINO,21596,18301,0.85
220905,SAN MARTIN,SAN MARTIN,CHIPURANA,FEMENINO,1000,1264,1.26
110113,ICA,ICA,TATE,MASCULINO,2466,1239,0.5
90113,HUANCAVELICA,HUANCAVELICA,NUEVO OCCORO,FEMENINO,1329,886,0.67
160201,LORETO,ALTO AMAZONAS,YURIMAGUAS,MASCULINO,37443,44235,1.18
160509,LORETO,REQUENA,TAPICHE,MASCULINO,551,421,0.76
90302,HUANCAVELICA,ANGARAES,ANCHONGA,MASCULINO,4117,3605,0.88
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,FEMENINO,391,396,1.01
220101,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,FEMENINO,44722,33017,0.74
20108,ANCASH,HUARAZ,OLLEROS,MASCULINO,1180,1338,1.13
21710,ANCASH,RECUAY,TICAPAMPA,FEMENINO,1059,946,0.89
20605,ANCASH,CARHUAZ,ATAQUERO,FEMENINO,675,787,1.17
90405,HUANCAVELICA,CASTROVIRREYNA,CHUPAMARCA,FEMENINO,601,478,0.8
60412,CAJAMARCA,CHOTA,MIRACOSTA,FEMENINO,2001,1708,0.85
150727,LIMA,HUAROCHIRI,SANTA CRUZ DE COCACHACRA,MASCULINO,1258,993,0.79
150710,LIMA,HUAROCHIRI,LAHUAYTAMBO,FEMENINO,387,265,0.68
210703,PUNO,LAMPA,CALAPUJA,FEMENINO,734,783,1.07
150141,LIMA,LIMA,SURQUILLO,FEMENINO,45317,24974,0.55
90511,HUANCAVELICA,CHURCAMPA,COSME,MASCULINO,2119,638,0.3
210205,PUNO,AZANGARO,CAMINACA,MASCULINO,1926,1971,1.02
21205,ANCASH,HUAYLAS,MATO,MASCULINO,1032,948,0.92
220303,SAN MARTIN,EL DORADO,SAN MARTIN,FEMENINO,7216,5888,0.82
20204,ANCASH,AIJA,LA MERCED,FEMENINO,1076,797,0.74
120704,JUNIN,TARMA,HUASAHUASI,MASCULINO,7835,5245,0.67
20515,ANCASH,BOLOGNESI,TICLLOS,FEMENINO,616,272,0.44
